ID,fmc,lai,landcover,n,soil,443,490,560,665,705,740,783,842,865,945,1375,1610,2190
60,27.13567839,1.05526548,forest,2,1_newsoil.txt,0.027787,0.032416,0.053566,0.047759,0.08061,0.20815,0.25987,0.27658,0.2845,0.3016,0.25607,0.24976,0.13155
61,27.13567839,0.89257421,forest,2,1_newsoil.txt,0.043636,0.054128,0.083395,0.097346,0.13269,0.2045,0.23689,0.25774,0.26673,0.28848,0.26693,0.31529,0.22722
62,27.13567839,0.89257421,forest,2,1_newsoil.txt,0.038135,0.046694,0.073105,0.080816,0.11507,0.2031,0.24082,0.26039,0.26904,0.28939,0.26108,0.29318,0.1957
63,27.13567839,0.89257421,forest,2,1_newsoil.txt,0.033416,0.040246,0.064266,0.066151,0.099729,0.20375,0.24668,0.2651,0.27344,0.29252,0.25771,0.27459,0.16788
64,27.13567839,0.89257421,forest,2,1_newsoil.txt,0.03014,0.035614,0.058099,0.054919,0.088599,0.20818,0.25611,0.27359,0.28171,0.29971,0.25888,0.26245,0.14686
65,27.13567839,0.74212736,forest,2,1_newsoil.txt,0.044982,0.05593,0.085962,0.10125,0.13711,0.20543,0.23628,0.25751,0.26661,0.28878,0.26922,0.32214,0.23538
66,27.13567839,0.74212736,forest,2,1_newsoil.txt,0.040046,0.049258,0.076751,0.086416,0.12136,0.20416,0.23958,0.25971,0.2685,0.28947,0.2641,0.30288,0.20739
67,27.13567839,0.74212736,forest,2,1_newsoil.txt,0.035789,0.043444,0.068798,0.073199,0.1076,0.20464,0.24453,0.26364,0.27217,0.29203,0.26107,0.28659,0.18258
68,27.13567839,0.74212736,forest,2,1_newsoil.txt,0.032783,0.039207,0.063159,0.062962,0.097468,0.20833,0.25248,0.27077,0.27909,0.29801,0.26188,0.27574,0.16362
69,27.13567839,1.42669978,forest,2,2_newsoil.txt,0.030297,0.037035,0.057796,0.06386,0.09039,0.15978,0.19033,0.20466,0.21106,0.22576,0.20223,0.22308,0.15137
70,27.13567839,1.42669978,forest,2,2_newsoil.txt,0.02627,0.031338,0.050203,0.050024,0.076646,0.16685,0.20497,0.21824,0.22444,0.23787,0.20545,0.20841,0.12519
71,27.13567839,1.42669978,forest,2,2_newsoil.txt,0.023009,0.026607,0.04404,0.038016,0.065173,0.1761,0.22175,0.23412,0.24017,0.25249,0.2114,0.19758,0.10275
72,27.13567839,1.42669978,forest,2,2_newsoil.txt,0.021159,0.023654,0.04051,0.029369,0.057877,0.18939,0.24245,0.25421,0.26022,0.27172,0.22237,0.19381,0.087209
73,27.13567839,1.23237228,forest,2,2_newsoil.txt,0.030908,0.037876,0.058978,0.06579,0.092513,0.15898,0.18787,0.20239,0.20881,0.22374,0.20212,0.22629,0.15556
74,27.13567839,1.23237228,forest,2,2_newsoil.txt,0.027114,0.032508,0.05184,0.052748,0.07961,0.1654,0.20105,0.21456,0.22078,0.23454,0.20497,0.21278,0.13109
